Sample,Gate,X Parameter,X Median
A3-2,singlets,chimera-GFP-A,3169
A3-2,All Events,chimera-GFP-H,4658
A3-3,cells,FSC-A,715954
A3-3,All Events,FSC-A,1048575
A3-3,singlets,FSC-A,711239
A3-3,All Events,FSC-A,1048575
A3-3,cells,FSC-A,715954
A3-3,All Events,PHO5pr-mCherry-A,12567
A3-3,singlets,PHO5pr-mCherry-A,6449
A3-3,All Events,FSC-A,1048575
A3-3,All Events,FSC-A,1048575
A3-3,All Events,chimera-GFP-A,7574
A3-3,singlets,chimera-GFP-A,3805
A3-3,All Events,chimera-GFP-H,5906
A20-1-yH295-pH177,cells,FSC-A,515376
A20-1-yH295-pH177,All Events,FSC-A,832537
A20-1-yH295-pH177,singlets,FSC-A,511736
A20-1-yH295-pH177,All Events,FSC-A,832537
A20-1-yH295-pH177,cells,FSC-A,515376
A20-1-yH295-pH177,All Events,PHO5pr-mCherry-A,10445
A20-1-yH295-pH177,singlets,PHO5pr-mCherry-A,6034
A20-1-yH295-pH177,All Events,FSC-A,832537
A20-1-yH295-pH177,All Events,FSC-A,832537
A20-1-yH295-pH177,All Events,chimera-GFP-A,11066
A20-1-yH295-pH177,singlets,chimera-GFP-A,6735
A20-1-yH295-pH177,All Events,chimera-GFP-H,9415
A20-2,cells,FSC-A,545232
A20-2,All Events,FSC-A,809005
A20-2,singlets,FSC-A,540082
A20-2,All Events,FSC-A,809005
A20-2,cells,FSC-A,545232
A20-2,All Events,PHO5pr-mCherry-A,8384
A20-2,singlets,PHO5pr-mCherry-A,5402
A20-2,All Events,FSC-A,809005
A20-2,All Events,FSC-A,809005
A20-2,All Events,chimera-GFP-A,10615
A20-2,singlets,chimera-GFP-A,6854
A20-2,All Events,chimera-GFP-H,9023
A20-3,cells,FSC-A,503360
A20-3,All Events,FSC-A,767194
A20-3,singlets,FSC-A,499691
A20-3,All Events,FSC-A,767194
A20-3,cells,FSC-A,503360
A20-3,All Events,PHO5pr-mCherry-A,10191
A20-3,singlets,PHO5pr-mCherry-A,6431
A20-3,All Events,FSC-A,767194
A20-3,All Events,FSC-A,767194
A20-3,All Events,chimera-GFP-A,9534
A20-3,singlets,chimera-GFP-A,6249
A20-3,All Events,chimera-GFP-H,8291
A4-1-yH295-pH180,cells,FSC-A,510043
A4-1-yH295-pH180,All Events,FSC-A,785949
A4-1-yH295-pH180,singlets,FSC-A,506377
A4-1-yH295-pH180,All Events,FSC-A,785949
A4-1-yH295-pH180,cells,FSC-A,510043
A4-1-yH295-pH180,All Events,PHO5pr-mCherry-A,8775
A4-1-yH295-pH180,singlets,PHO5pr-mCherry-A,5396
A4-1-yH295-pH180,All Events,FSC-A,785949
A4-1-yH295-pH180,All Events,FSC-A,785949
A4-1-yH295-pH180,All Events,chimera-GFP-A,5022
A4-1-yH295-pH180,singlets,chimera-GFP-A,3171
A4-1-yH295-pH180,All Events,chimera-GFP-H,4340
A4-2,cells,FSC-A,529052
A4-2,All Events,FSC-A,888973
A4-2,singlets,FSC-A,524417
A4-2,All Events,FSC-A,888973
A4-2,cells,FSC-A,529052
